Species,Site,Length,Status,River,
F. askewi,1,59.4,Live,Sabine,
F. askewi,1,16.1,Live,Sabine,
F. askewi,1,39.65,Live,Sabine,
F. askewi,1,70,Live,Sabine,
F. askewi,1,55,Live,Sabine,
F. askewi,1,55.9,Live,Sabine,
F. askewi,1,70,Live,Sabine,
F. askewi,1,65.5,Live,Sabine,
F. askewi,1,66.6,Live,Sabine,
F. askewi,1,30.1,Live,Sabine,
F. askewi,1,37.1,Live,Sabine,
F. askewi,1,64.4,Live,Sabine,
F. askewi,1,69.15,Live,Sabine,
F. askewi,1,53.8,Live,Sabine,
F. askewi,1,70.9,Live,Sabine,
F. askewi,1,42,Live,Sabine,
F. askewi,1,55.5,Live,Sabine,
F. askewi,1,71.1,Live,Sabine,
F. askewi,1,67.2,Live,Sabine,
F. askewi,1,47.2,Live,Sabine,
F. askewi,1,66,Live,Sabine,
F. askewi,1,61.1,Live,Sabine,
F. askewi,1,41.1,Live,Sabine,
F. askewi,1,39,Live,Sabine,
F. askewi,1,37,Live,Sabine,
F. askewi,1,44,Live,Sabine,
F. askewi,1,60.2,Live,Sabine,
F. askewi,1,60,Live,Sabine,
F. askewi,1,69.4,Live,Sabine,
F. askewi,1,61.2,Live,Sabine,
F. askewi,1,62.3,Live,Sabine,
F. askewi,1,63.3,Live,Sabine,
F. askewi,1,61.1,Live,Sabine,
F. askewi,1,61.2,Live,Sabine,
F. askewi,1,54,Live,Sabine,
F. askewi,1,61.1,Live,Sabine,
F. askewi,1,57.3,Live,Sabine,
F. askewi,1,54.3,Live,Sabine,
F. askewi,1,43.3,Live,Sabine,
F. askewi,1,59.4,Live,Sabine,
F. askewi,1,43.3,Live,Sabine,
F. askewi,1,64.4,Live,Sabine,
F. askewi,1,58.9,Live,Sabine,
F. askewi,1,62.3,Live,Sabine,
F. askewi,1,70.2,Live,Sabine,
F. askewi,1,42.2,Live,Sabine,
F. askewi,1,46.2,Live,Sabine,
F. askewi,1,57.3,Live,Sabine,
F. askewi,1,39.4,Live,Sabine,
F. askewi,1,42.2,Live,Sabine,
F. askewi,1,67.2,Live,Sabine,
F. askewi,1,31.1,Live,Sabine,
F. askewi,1,26.2,Live,Sabine,
F. askewi,1,46.1,Live,Sabine,
F. askewi,1,65,Live,Sabine,
F. askewi,1,45.5,Live,Sabine,
F. askewi,1,42.45,Live,Sabine,
F. askewi,1,57.2,Live,Sabine,
F. askewi,1,40.1,Live,Sabine,
F. askewi,1,44,Live,Sabine,
F. askewi,1,65,Live,Sabine,
F. askewi,1,30,Live,Sabine,
F. askewi,1,49.4,Live,Sabine,
F. askewi,1,53.3,Live,Sabine,
F. askewi,1,47.7,Live,Sabine,
F. askewi,1,85.75,Live,Sabine,
F. askewi,1,63.8,Live,Sabine,
F. askewi,1,48.4,Live,Sabine,
F. askewi,1,52.3,Live,Sabine,
F. askewi,1,43.1,Live,Sabine,
F. askewi,1,60,Live,Sabine,
F. askewi,1,55.1,Live,Sabine,
F. askewi,1,54,Live,Sabine,
F. askewi,1,44,Live,Sabine,
F. askewi,1,57.2,Live,Sabine,
F. askewi,1,42,Live,Sabine,
F. askewi,1,45.5,Live,Sabine,
F. askewi,1,65.3,Live,Sabine,
F. askewi,1,59.4,Live,Sabine,
F. askewi,1,62.05,Live,Sabine,
F. askewi,1,49.4,Live,Sabine,
F. askewi,1,49.4,Live,Sabine,
F. askewi,1,46.7,Live,Sabine,
F. askewi,1,60.2,Live,Sabine,
F. askewi,1,58.2,Live,Sabine,
F. askewi,1,56.2,Live,Sabine,
F. askewi,1,48.2,Live,Sabine,
F. askewi,1,58.4,Live,Sabine,
F. askewi,1,58.4,Live,Sabine,
F. askewi,1,54,Live,Sabine,
F. askewi,1,46,Live,Sabine,
F. askewi,1,38.8,Live,Sabine,
F. askewi,1,64,Live,Sabine,
F. askewi,1,53.4,Live,Sabine,
F. askewi,1,59,Live,Sabine,
F. askewi,1,49.4,Live,Sabine,
F. askewi,1,18.4,Live,Sabine,
F. askewi,1,52.05,Live,Sabine,
F. askewi,1,27.7,Live,Sabine,
F. askewi,1,57.8,Live,Sabine,
F. askewi,1,65.25,Live,Sabine,
F. askewi,1,44.25,Live,Sabine,
F. askewi,1,53.3,Live,Sabine,
F. askewi,1,63.55,Live,Sabine,
F. askewi,1,48.8,Live,Sabine,
F. askewi,1,62.2,Live,Sabine,
F. askewi,1,52.2,Live,Sabine,
F. askewi,1,36.1,Live,Sabine,
F. askewi,1,43.8,Live,Sabine,
F. askewi,1,45.5,Live,Sabine,
F. askewi,1,64.5,Live,Sabine,
F. askewi,1,65.5,Live,Sabine,
F. askewi,1,60,Live,Sabine,
F. askewi,1,46.6,Live,Sabine,
F. askewi,1,44.8,Live,Sabine,
F. askewi,1,50.65,Live,Sabine,
F. askewi,1,51.2,Live,Sabine,
F. askewi,1,63.3,Live,Sabine,
F. askewi,1,60.4,Live,Sabine,
F. askewi,1,36.1,Live,Sabine,
F. askewi,1,55.1,Live,Sabine,
F. askewi,1,57.2,Live,Sabine,
F. askewi,1,50.7,Live,Sabine,
F. askewi,1,60.9,Live,Sabine,
F. askewi,1,62.2,Live,Sabine,
F. askewi,1,21.7,Live,Sabine,
F. askewi,1,48.3,Live,Sabine,
F. askewi,1,49.4,Live,Sabine,
F. askewi,1,46.8,Live,Sabine,
F. askewi,1,44.8,Live,Sabine,
F. askewi,1,48.7,Live,Sabine,
F. askewi,1,70.9,Live,Sabine,
F. askewi,1,69.4,Live,Sabine,
F. askewi,1,49.4,Live,Sabine,
F. askewi,1,39.8,Live,Sabine,
F. askewi,1,65.9,Live,Sabine,
F. askewi,1,62.7,Live,Sabine,
F. askewi,1,59.4,Live,Sabine,
F. askewi,1,57.7,Live,Sabine,
F. askewi,1,29.8,Live,Sabine,
F. askewi,1,72.2,Live,Sabine,
F. askewi,1,68,Live,Sabine,
F. askewi,1,65,Live,Sabine,
F. askewi,1,55.2,Live,Sabine,
F. askewi,1,51.1,Live,Sabine,
F. askewi,1,49.4,Live,Sabine,
F. askewi,1,72.3,Live,Sabine,
F. askewi,1,65.2,Live,Sabine,
F. askewi,1,68.7,Live,Sabine,
F. askewi,1,63.7,Live,Sabine,
F. askewi,1,58.7,Live,Sabine,
F. askewi,1,46.1,Live,Sabine,
F. askewi,1,61.1,Live,Sabine,
F. askewi,1,72.6,Live,Sabine,
F. askewi,1,55.8,Live,Sabine,
F. askewi,1,66.7,Live,Sabine,
F. askewi,1,69.4,Live,Sabine,
F. askewi,1,67.2,Live,Sabine,
F. askewi,1,55.9,Live,Sabine,
F. askewi,1,44.8,Live,Sabine,
F. askewi,1,51.1,Live,Sabine,
F. askewi,1,71.5,Live,Sabine,
F. askewi,1,57.1,Live,Sabine,
F. askewi,1,74.4,Live,Sabine,
F. askewi,1,61.1,Live,Sabine,
F. askewi,1,59.1,Live,Sabine,
F. askewi,1,66.4,Live,Sabine,
F. askewi,1,58.1,Live,Sabine,
F. askewi,1,58.3,Live,Sabine,
F. askewi,1,54.2,Live,Sabine,
F. askewi,1,49.4,Live,Sabine,
F. askewi,1,70,Live,Sabine,
F. askewi,1,48.3,Live,Sabine,
F. askewi,1,45.4,Live,Sabine,
F. askewi,1,64.8,Live,Sabine,
F. askewi,1,67.2,Live,Sabine,
F. askewi,1,66.1,Live,Sabine,
F. askewi,1,47.1,Live,Sabine,
F. askewi,1,57.7,Live,Sabine,
F. askewi,1,50.2,Live,Sabine,
F. askewi,1,77.6,Live,Sabine,
F. askewi,1,57.6,Live,Sabine,
F. askewi,1,49.1,Live,Sabine,
F. askewi,1,54.4,Live,Sabine,
F. askewi,1,60.7,Live,Sabine,
F. askewi,1,50.8,Live,Sabine,
F. askewi,1,54.2,Live,Sabine,
F. askewi,1,40.5,Live,Sabine,
F. askewi,1,70,Live,Sabine,
F. askewi,1,51.6,Live,Sabine,
F. askewi,1,61.6,Live,Sabine,
F. askewi,1,64.8,Live,Sabine,
F. askewi,1,63.3,Live,Sabine,
F. askewi,1,60.9,Live,Sabine,
F. askewi,1,54.4,Live,Sabine,
F. askewi,1,48.3,Live,Sabine,
F. askewi,1,56,Live,Sabine,
F. askewi,1,65.4,Live,Sabine,
F. askewi,1,72.6,Live,Sabine,
F. askewi,1,63.3,Live,Sabine,
F. askewi,1,59.4,Live,Sabine,
F. askewi,1,53.3,Live,Sabine,
F. askewi,1,69.9,Live,Sabine,
F. askewi,1,58.9,Live,Sabine,
F. askewi,1,49.7,Live,Sabine,
F. askewi,1,47.8,Live,Sabine,
F. askewi,1,61.1,Live,Sabine,
F. askewi,1,52.6,Live,Sabine,
F. askewi,1,62.2,Live,Sabine,
F. askewi,1,67.2,Live,Sabine,
F. askewi,1,63.3,Live,Sabine,
F. askewi,1,51.6,Live,Sabine,
F. askewi,1,71.6,Live,Sabine,
F. askewi,1,59.8,Live,Sabine,
F. askewi,1,65.9,Live,Sabine,
F. askewi,1,48.3,Live,Sabine,
F. askewi,1,65.5,Live,Sabine,
F. askewi,1,55.9,Live,Sabine,
F. askewi,1,48.3,Live,Sabine,
F. askewi,1,64.8,Live,Sabine,
F. askewi,1,50.9,Live,Sabine,
F. askewi,1,55.7,Live,Sabine,
F. askewi,1,72.6,Live,Sabine,
F. askewi,1,48.7,Live,Sabine,
F. askewi,1,46.1,Live,Sabine,
F. askewi,1,64.1,Live,Sabine,
F. askewi,1,40.5,Live,Sabine,
F. askewi,1,70.9,Live,Sabine,
F. askewi,1,71.1,Live,Sabine,
F. askewi,1,34.8,Live,Sabine,
F. askewi,1,54.3,Live,Sabine,
F. askewi,1,61,Live,Sabine,
F. askewi,1,49.4,Live,Sabine,
F. askewi,1,53.3,Live,Sabine,
F. askewi,1,57.2,Live,Sabine,
F. askewi,1,64.4,Live,Sabine,
F. askewi,1,48.7,Live,Sabine,
F. askewi,1,56.6,Live,Sabine,
F. askewi,1,61.3,Live,Sabine,
F. askewi,1,68,Live,Sabine,
F. askewi,1,55.2,Live,Sabine,
F. askewi,1,68.9,Live,Sabine,
F. askewi,1,50.9,Live,Sabine,
F. askewi,1,38.2,Live,Sabine,
F. askewi,1,69.8,Live,Sabine,
F. askewi,1,65.9,Live,Sabine,
F. askewi,1,53.3,Live,Sabine,
F. askewi,1,57.7,Live,Sabine,
F. askewi,2,5.6,Live,Sabine,
F. askewi,2,17.9,Live,Sabine,
F. askewi,2,21.6,Live,Sabine,
F. askewi,2,8.3,Live,Sabine,
F. askewi,2,6.7,Live,Sabine,
F. askewi,2,8.8,Live,Sabine,
F. askewi,2,14.3,Live,Sabine,
F. askewi,2,41.6,Live,Sabine,
F. askewi,2,66.85,Live,Sabine,
F. askewi,2,30.3,Live,Sabine,
F. askewi,2,31.6,Live,Sabine,
F. askewi,2,28.4,Live,Sabine,
F. askewi,2,47.2,Live,Sabine,
F. askewi,2,70.5,Live,Sabine,
F. askewi,2,80.5,Live,Sabine,
F. askewi,2,70.4,Live,Sabine,
F. askewi,2,50.1,Live,Sabine,
F. askewi,2,29.4,Live,Sabine,
F. askewi,2,42.7,Live,Sabine,
F. askewi,2,56.4,Live,Sabine,
F. askewi,2,62.4,Live,Sabine,
F. askewi,2,43.8,Live,Sabine,
F. askewi,2,42.75,Live,Sabine,
F. askewi,2,31.6,Live,Sabine,
F. askewi,2,67.7,Live,Sabine,
F. askewi,2,37.7,Live,Sabine,
F. askewi,2,30.8,Live,Sabine,
F. askewi,2,67.2,Live,Sabine,
F. askewi,2,16.2,Live,Sabine,
F. askewi,2,14.6,Live,Sabine,
F. askewi,2,14.6,Live,Sabine,
F. askewi,2,38.8,Live,Sabine,
F. askewi,2,26.8,Live,Sabine,
F. askewi,2,32.2,Live,Sabine,
F. askewi,2,35.5,Live,Sabine,
F. askewi,2,26.6,Live,Sabine,
F. askewi,2,27.7,Live,Sabine,
F. askewi,2,39.4,Live,Sabine,
F. askewi,2,54.4,Live,Sabine,
F. askewi,2,53.8,Live,Sabine,
F. askewi,2,67.2,Live,Sabine,
F. askewi,2,50.5,Live,Sabine,
F. askewi,2,42.5,Live,Sabine,
F. askewi,2,44.6,Live,Sabine,
F. askewi,2,50.7,Live,Sabine,
F. askewi,2,60.8,Live,Sabine,
F. askewi,2,70.6,Live,Sabine,
F. askewi,2,55.8,Live,Sabine,
F. askewi,2,65.5,Live,Sabine,
F. askewi,2,41.6,Live,Sabine,
F. askewi,2,42.3,Live,Sabine,
F. askewi,2,37.2,Live,Sabine,
F. askewi,2,41.8,Live,Sabine,
F. askewi,2,42.3,Live,Sabine,
F. askewi,2,39.4,Live,Sabine,
F. askewi,2,44.8,Live,Sabine,
F. askewi,2,24,Live,Sabine,
F. askewi,2,28.8,Live,Sabine,
F. askewi,2,36.4,Live,Sabine,
F. askewi,2,37.4,Live,Sabine,
F. askewi,2,23.4,Live,Sabine,
F. askewi,2,35.5,Live,Sabine,
F. askewi,2,24,Live,Sabine,
F. askewi,2,28.4,Live,Sabine,
F. askewi,2,28.7,Live,Sabine,
F. askewi,2,16.7,Live,Sabine,
F. askewi,2,28.4,Live,Sabine,
F. askewi,2,25,Live,Sabine,
F. askewi,2,24.9,Live,Sabine,
F. askewi,2,17.3,Live,Sabine,
F. askewi,2,21.6,Live,Sabine,
F. askewi,2,22.7,Live,Sabine,
F. askewi,2,20.2,Live,Sabine,
F. askewi,2,6.9,Live,Sabine,
F. askewi,2,17,Live,Sabine,
F. askewi,2,19.4,Live,Sabine,
F. askewi,2,24.5,Live,Sabine,
F. askewi,2,27.2,Live,Sabine,
F. askewi,2,45.7,Live,Sabine,
F. askewi,2,30.3,Live,Sabine,
F. askewi,2,50.9,Live,Sabine,
F. askewi,2,68.3,Live,Sabine,
F. askewi,2,14.6,Live,Sabine,
F. askewi,2,62.8,Live,Sabine,
F. askewi,2,56.1,Live,Sabine,
F. askewi,2,30.1,Live,Sabine,
F. askewi,2,67.7,Live,Sabine,
F. askewi,2,28.3,Live,Sabine,
F. askewi,2,32.4,Live,Sabine,
F. askewi,2,60.5,Live,Sabine,
F. askewi,2,61.7,Live,Sabine,
F. askewi,2,79.6,Live,Sabine,
F. askewi,2,90,Live,Sabine,
F. askewi,2,84.8,Live,Sabine,
F. askewi,2,77.5,Live,Sabine,
F. askewi,2,104.3,Live,Sabine,
F. askewi,2,72.4,Live,Sabine,
F. askewi,2,69.3,Live,Sabine,
F. askewi,2,59.7,Live,Sabine,
F. askewi,2,47.4,Live,Sabine,
F. askewi,2,56.3,Live,Sabine,
F. askewi,2,75.9,Live,Sabine,
F. askewi,2,47.9,Live,Sabine,
F. askewi,2,54.3,Live,Sabine,
F. askewi,2,75.4,Live,Sabine,
F. askewi,2,72.4,Live,Sabine,
F. askewi,2,73.4,Live,Sabine,
F. askewi,2,59,Live,Sabine,
F. askewi,2,68.8,Live,Sabine,
F. askewi,2,73.9,Live,Sabine,
F. askewi,2,74,Live,Sabine,
F. askewi,2,62.7,Live,Sabine,
F. askewi,2,70.3,Live,Sabine,
F. askewi,2,59.8,Live,Sabine,
F. askewi,2,84.3,Live,Sabine,
F. askewi,2,72.8,Live,Sabine,
F. askewi,2,81.5,Live,Sabine,
F. askewi,2,75.6,Live,Sabine,
F. askewi,2,79.2,Live,Sabine,
F. askewi,2,84.3,Live,Sabine,
F. askewi,2,72.8,Live,Sabine,
F. askewi,2,77.2,Live,Sabine,
F. askewi,2,53.3,Live,Sabine,
F. askewi,2,76.4,Live,Sabine,
F. askewi,2,81.2,Live,Sabine,
F. askewi,2,70.4,Live,Sabine,
F. askewi,2,73.2,Live,Sabine,
F. askewi,2,56.1,Live,Sabine,
F. askewi,2,67.4,Live,Sabine,
F. askewi,2,55.8,Live,Sabine,
F. askewi,2,68.5,Live,Sabine,
F. askewi,2,52.2,Live,Sabine,
F. askewi,2,63.6,Live,Sabine,
F. askewi,2,56.4,Live,Sabine,
F. askewi,2,74.93,Live,Sabine,
F. askewi,2,74.9,Live,Sabine,
F. askewi,2,72.3,Live,Sabine,
F. askewi,2,59.9,Live,Sabine,
F. askewi,2,64.3,Live,Sabine,
F. askewi,2,74.5,Live,Sabine,
F. askewi,2,68.1,Live,Sabine,
F. askewi,2,79.2,Live,Sabine,
F. askewi,2,45.8,Live,Sabine,
F. askewi,2,80.6,Live,Sabine,
F. askewi,2,84.8,Live,Sabine,
F. askewi,2,84,Live,Sabine,
F. askewi,2,51.7,Live,Sabine,
F. askewi,2,42.5,Live,Sabine,
F. askewi,2,75.1,Live,Sabine,
F. askewi,2,81.2,Live,Sabine,
F. askewi,2,70.4,Live,Sabine,
F. askewi,2,59.8,Live,Sabine,
F. askewi,2,45.6,Live,Sabine,
F. askewi,2,63.3,Live,Sabine,
F. askewi,3,78.4,Live,Sabine,
F. askewi,3,65.4,Live,Sabine,
F. askewi,3,61.6,Live,Sabine,
F. askewi,3,68.8,Live,Sabine,
F. askewi,3,68.8,Live,Sabine,
F. askewi,3,55.5,Live,Sabine,
F. askewi,3,65.4,Live,Sabine,
F. askewi,3,60.3,Live,Sabine,
F. askewi,3,66.7,Live,Sabine,
F. askewi,3,90.5,Live,Sabine,
F. askewi,3,69.9,Live,Sabine,
F. askewi,3,73.7,Live,Sabine,
F. askewi,3,82.6,Live,Sabine,
F. askewi,3,68.3,Live,Sabine,
F. askewi,3,70.6,Live,Sabine,
F. askewi,3,72.3,Live,Sabine,
F. askewi,3,47,Live,Sabine,
F. askewi,3,65.9,Live,Sabine,
F. askewi,3,49.1,Live,Sabine,
F. askewi,3,66.5,Live,Sabine,
F. askewi,3,62.8,Live,Sabine,
F. askewi,3,75.4,Live,Sabine,
F. askewi,3,66.4,Live,Sabine,
F. askewi,3,89.4,Live,Sabine,
F. askewi,3,55.5,Live,Sabine,
F. askewi,3,64.8,Live,Sabine,
F. askewi,3,68.7,Live,Sabine,
F. askewi,3,70.9,Live,Sabine,
F. askewi,3,61.6,Live,Sabine,
F. askewi,3,58.9,Live,Sabine,
F. askewi,3,85.5,Live,Sabine,
F. askewi,3,78.7,Live,Sabine,
F. askewi,3,90.9,Live,Sabine,
F. askewi,3,67.7,Live,Sabine,
F. askewi,3,65.9,Live,Sabine,
F. askewi,3,75.5,Live,Sabine,
F. askewi,3,48.3,Live,Sabine,
F. askewi,3,75.4,Live,Sabine,
F. askewi,3,73.3,Live,Sabine,
F. askewi,3,74.8,Live,Sabine,
F. askewi,3,65.5,Live,Sabine,
F. askewi,3,72.4,Live,Sabine,
F. askewi,3,69.8,Live,Sabine,
F. askewi,3,59.4,Live,Sabine,
F. askewi,3,76.7,Live,Sabine,
F. askewi,3,73.3,Live,Sabine,
F. askewi,3,59.8,Live,Sabine,
F. askewi,3,52.6,Live,Sabine,
F. askewi,3,65.5,Live,Sabine,
F. askewi,3,60,Live,Sabine,
F. askewi,3,67.6,Live,Sabine,
F. askewi,3,69.4,Live,Sabine,
F. askewi,3,80.5,Live,Sabine,
F. askewi,3,88.1,Live,Sabine,
F. askewi,3,67,Live,Sabine,
F. askewi,3,45.2,Live,Sabine,
F. askewi,3,69.1,Live,Sabine,
F. askewi,3,59.1,Live,Sabine,
F. askewi,3,35.9,Live,Sabine,
F. askewi,3,40.6,Live,Sabine,
F. askewi,3,57.8,Live,Sabine,
F. askewi,3,50.9,Live,Sabine,
F. askewi,3,76.7,Live,Sabine,
F. askewi,3,52.2,Live,Sabine,
F. askewi,3,84.8,Live,Sabine,
F. askewi,3,59.4,Live,Sabine,
F. askewi,3,83.3,Live,Sabine,
F. askewi,3,50.5,Live,Sabine,
F. askewi,3,47.4,Live,Sabine,
F. askewi,3,52.6,Live,Sabine,
F. askewi,3,66,Live,Sabine,
F. askewi,3,86,Live,Sabine,
F. askewi,3,45,Live,Sabine,
F. askewi,3,62.7,Live,Sabine,
F. askewi,3,70.9,Live,Sabine,
F. askewi,3,75.5,Live,Sabine,
F. askewi,3,80.9,Live,Sabine,
F. askewi,3,60.8,Live,Sabine,
F. askewi,3,52.2,Live,Sabine,
F. askewi,3,67.7,Live,Sabine,
F. askewi,3,63.3,Live,Sabine,
F. askewi,3,59.4,Live,Sabine,
F. askewi,3,29.8,Live,Sabine,
F. askewi,3,73.7,Live,Sabine,
